Genesis Account,Proxy Account,Proxy Type,Delay
5EcmWB9yGXcY39kmfpLCx1Aqb2DmCikuD5KkUZHqQQDbwimM,5HKCTP8ui8xGMiatiS48FQ3hMF9bth2UbqL8S5yk6sapqbSg,Any,0
5HN1xLdp4sy4ZFD8sX9Z5Yj7LUbo6hbPz1UDy8vSeWz3p8sc,5HKCTP8ui8xGMiatiS48FQ3hMF9bth2UbqL8S5yk6sapqbSg,Any,0
5Dt2mRqpTM3KSkZgQRXpRUptMqB3YrQm69Do91q4ti6FqQ9V,5HKCTP8ui8xGMiatiS48FQ3hMF9bth2UbqL8S5yk6sapqbSg,Any,0
5FWSRCyjawFrk7BEZNL6buYodp3UrmZ8CB6HpjGTiY2iA6QL,5HKCTP8ui8xGMiatiS48FQ3hMF9bth2UbqL8S5yk6sapqbSg,Any,0
5HEiraQFT2pHqK697etfwi4q1Yrb6bhSMurVHwFr2jijpJmv,5HKCTP8ui8xGMiatiS48FQ3hMF9bth2UbqL8S5yk6sapqbSg,Any,0
5FjsFFTXJCJeP3ujHjwSM7AgPQHe2DHU9ZNYASjRSzRRwEwL,5HKCTP8ui8xGMiatiS48FQ3hMF9bth2UbqL8S5yk6sapqbSg,Any,0
